Tumor_Sample_Barcode	cnt	tmb
TCGA-17-Z033-01A-01W-0746-08	38	1.15151515151515
TCGA-17-Z036-01A-01W-0746-08	21	0.636363636363636
TCGA-17-Z037-01A-01W-0746-08	40	1.21212121212121
TCGA-17-Z041-01A-01W-0746-08	15	0.454545454545455
TCGA-17-Z042-01A-01W-0746-08	112	3.39393939393939
TCGA-17-Z043-01A-01W-0746-08	48	1.45454545454545
TCGA-17-Z044-01A-01W-0746-08	35	1.06060606060606
TCGA-17-Z045-01A-01W-0746-08	170	5.15151515151515
TCGA-17-Z047-01A-01W-0747-08	6	0.181818181818182
TCGA-17-Z048-01A-01W-0746-08	14	0.424242424242424
TCGA-17-Z049-01A-01W-0746-08	148	4.48484848484848
TCGA-17-Z050-01A-01W-0747-08	42	1.27272727272727
TCGA-17-Z051-01A-01W-0747-08	46	1.39393939393939
TCGA-17-Z052-01A-01W-0747-08	37	1.12121212121212
TCGA-17-Z053-01A-01W-0747-08	85	2.57575757575758
TCGA-17-Z054-01A-01W-0747-08	2	0.0606060606060606
TCGA-17-Z055-01A-01W-0747-08	165	5
TCGA-17-Z056-01A-01W-0747-08	137	4.15151515151515
TCGA-17-Z057-01A-01W-0747-08	114	3.45454545454545
TCGA-17-Z058-01A-01W-0747-08	25	0.757575757575758
TCGA-17-Z059-01A-01W-0747-08	50	1.51515151515152
TCGA-17-Z060-01A-01W-0747-08	51	1.54545454545455
TCGA-17-Z061-01A-01W-0747-08	39	1.18181818181818
TCGA-17-Z062-01A-01W-0747-08	126	3.81818181818182
TCGA-18-3406-01A-01D-0983-08	79	2.39393939393939
TCGA-18-3407-01A-01D-0983-08	73	2.21212121212121
TCGA-18-3408-01A-01D-0983-08	37	1.12121212121212
